2025-03-10 16:18:27,862 - AVC - Arming Drone
2025-03-10 16:18:31,957 - AVC - UAV START: TAKING OFF
2025-03-10 16:18:38,975 - AVC - Received from Jetson: [32.9937529, -96.7538144]0

2025-03-10 16:18:39,978 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:40,980 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:41,983 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:42,984 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:43,986 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:44,989 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:45,991 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:46,993 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:47,995 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:48,997 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:49,999 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:51,000 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:52,001 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:53,003 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:54,005 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:55,007 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:56,008 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:57,011 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:58,013 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:18:59,015 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:00,017 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:01,019 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:02,021 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:03,023 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:04,221 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:05,224 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:06,226 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:07,228 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:08,231 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:09,233 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:10,235 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:11,237 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:12,240 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:13,242 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:14,247 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:15,248 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:16,250 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:17,253 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:18,255 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:19,261 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:20,263 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:21,265 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:22,267 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:23,268 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

2025-03-10 16:19:24,271 - AVC - Received from Jetson: [32.9937526, -96.7538141]0

