2025-02-11 15:37:11,184 - AVC - Arming Drone
2025-02-11 15:37:11,188 - AVC - Sent From Jetson: [32.9935363, -96.7520708]0
2025-02-11 15:42:33,939 - AVC - Arming Drone
2025-02-11 15:42:33,941 - AVC - Sent From Jetson: [32.9929126, -96.7582201]0
2025-02-17 15:14:31,427 - AVC - Arming Drone
2025-02-17 15:14:31,430 - AVC - Sent From Jetson: [32.9940747, -96.7453282]0
2025-02-17 15:21:10,483 - AVC - Arming Drone
2025-02-17 15:21:10,488 - AVC - Sent From Jetson: [32.9941162, -96.7453098]0
2025-02-17 16:15:18,077 - AVC - Arming Drone
2025-02-17 16:15:18,078 - AVC - Sent From Jetson: [32.9937687, -96.7537651]0
2025-02-17 16:15:26,867 - AVC - UAV START: TAKING OFF
2025-02-17 16:15:33,876 - AVC - Sent From Jetson: [32.9937694, -96.7537619]0
2025-02-17 16:15:34,877 - AVC - Sent From Jetson: [32.9937679, -96.7537625]0
2025-02-17 16:15:35,879 - AVC - Sent From Jetson: [32.9937543, -96.7537551]0
2025-02-17 16:15:36,879 - AVC - Sent From Jetson: [32.9937363, -96.7537469]0
2025-02-17 16:15:37,881 - AVC - Sent From Jetson: [32.9937164, -96.7537397]0
2025-02-17 16:15:38,882 - AVC - Sent From Jetson: [32.9936957, -96.7537326]0
2025-02-17 16:15:39,884 - AVC - Sent From Jetson: [32.9936779, -96.7537267]0
2025-02-17 16:15:40,885 - AVC - Sent From Jetson: [32.9936697, -96.7537247]0
2025-02-17 16:15:41,887 - AVC - Sent From Jetson: [32.9936687, -96.7537278]0
2025-02-17 16:15:42,893 - AVC - Sent From Jetson: [32.9936698, -96.7537434]0
2025-02-17 16:15:43,895 - AVC - Sent From Jetson: [32.9936718, -96.7537639]0
2025-02-17 16:15:44,897 - AVC - Sent From Jetson: [32.993674, -96.7537879]0
2025-02-17 16:15:45,897 - AVC - Sent From Jetson: [32.9936766, -96.7538132]0
2025-02-17 16:15:46,909 - AVC - Sent From Jetson: [32.9936788, -96.7538392]0
2025-02-17 16:15:47,901 - AVC - Sent From Jetson: [32.9936805, -96.7538643]0
2025-02-17 16:15:48,905 - AVC - Sent From Jetson: [32.993683, -96.753888]0
2025-02-17 16:15:49,903 - AVC - Sent From Jetson: [32.993685, -96.7539107]0
2025-02-17 16:15:50,906 - AVC - Sent From Jetson: [32.993686, -96.7539342]0
2025-02-17 16:15:51,905 - AVC - Sent From Jetson: [32.9936873, -96.7539588]0
2025-02-17 16:15:52,908 - AVC - Sent From Jetson: [32.9936902, -96.7539832]0
2025-02-17 16:15:53,909 - AVC - Sent From Jetson: [32.9936936, -96.7540075]0
2025-02-17 16:15:54,910 - AVC - Sent From Jetson: [32.9936961, -96.7540323]0
2025-02-17 16:15:55,912 - AVC - Sent From Jetson: [32.9936974, -96.7540572]0
2025-02-17 16:15:56,911 - AVC - Sent From Jetson: [32.9936983, -96.7540812]0
2025-02-17 16:15:57,912 - AVC - Sent From Jetson: [32.9937006, -96.7541049]0
2025-02-17 16:15:58,912 - AVC - Sent From Jetson: [32.993703, -96.7541211]0
2025-02-17 16:15:59,915 - AVC - Sent From Jetson: [32.9937035, -96.7541269]0
2025-02-17 16:16:00,916 - AVC - Sent From Jetson: [32.9937058, -96.7541277]0
2025-02-17 16:16:01,949 - AVC - Sent From Jetson: [32.9937204, -96.7541276]0
2025-02-17 16:16:02,918 - AVC - Sent From Jetson: [32.9937339, -96.7541264]0
2025-02-17 16:16:03,924 - AVC - Sent From Jetson: [32.993739, -96.7541212]0
2025-02-17 16:16:04,923 - AVC - Sent From Jetson: [32.9937393, -96.7541015]0
2025-02-17 16:16:05,925 - AVC - Sent From Jetson: [32.9937376, -96.754078]0
2025-02-17 16:16:06,926 - AVC - Sent From Jetson: [32.9937345, -96.7540535]0
2025-02-17 16:16:07,927 - AVC - Sent From Jetson: [32.9937311, -96.75403]0
2025-02-17 16:16:08,929 - AVC - Sent From Jetson: [32.9937279, -96.7540079]0
2025-02-17 16:16:09,929 - AVC - Sent From Jetson: [32.9937265, -96.7539854]0
2025-02-17 16:16:10,931 - AVC - Sent From Jetson: [32.9937264, -96.7539607]0
2025-02-17 16:16:11,933 - AVC - Sent From Jetson: [32.9937246, -96.7539344]0
2025-02-17 16:16:12,935 - AVC - Sent From Jetson: [32.9937221, -96.7539086]0
2025-02-17 16:16:13,935 - AVC - Sent From Jetson: [32.9937191, -96.7538842]0
2025-02-17 16:16:14,938 - AVC - Sent From Jetson: [32.9937168, -96.7538623]0
2025-02-17 16:16:15,938 - AVC - Sent From Jetson: [32.9937152, -96.7538407]0
2025-02-17 16:16:16,941 - AVC - Sent From Jetson: [32.9937138, -96.7538169]0
2025-02-17 16:16:17,941 - AVC - Sent From Jetson: [32.9937119, -96.7537926]0
2025-02-17 16:16:18,943 - AVC - Sent From Jetson: [32.9937096, -96.7537681]0
2025-02-17 16:16:19,979 - AVC - Sent From Jetson: [32.9937074, -96.7537433]0
2025-02-17 16:16:20,947 - AVC - Sent From Jetson: [32.9937054, -96.7537246]0
2025-02-17 16:16:21,948 - AVC - Sent From Jetson: [32.9937066, -96.7537183]0
2025-02-17 16:16:22,949 - AVC - Sent From Jetson: [32.993721, -96.7537197]0
2025-02-17 16:16:23,951 - AVC - Sent From Jetson: [32.9937332, -96.7537214]0
2025-02-17 16:16:24,955 - AVC - Sent From Jetson: [32.9937386, -96.7537211]0
2025-02-17 16:16:25,957 - AVC - Sent From Jetson: [32.99374, -96.7537233]0
2025-02-17 16:16:26,958 - AVC - Sent From Jetson: [32.993742, -96.753741]0
2025-02-17 16:16:27,958 - AVC - Sent From Jetson: [32.9937428, -96.7537639]0
2025-02-17 16:16:28,962 - AVC - Sent From Jetson: [32.9937434, -96.753788]0
2025-02-17 16:16:29,963 - AVC - Sent From Jetson: [32.9937445, -96.7538137]1
2025-02-17 16:16:29,964 - AVC - ArUco Marker Found At [32.9937445, -96.7538137]
2025-02-17 16:16:30,966 - AVC - Sent From Jetson: [32.9937469, -96.7538397]1
2025-02-17 16:16:30,966 - AVC - ArUco Marker Found At [32.9937469, -96.7538397]
2025-02-17 16:16:31,967 - AVC - Sent From Jetson: [32.9937493, -96.7538643]1
2025-02-17 16:16:31,967 - AVC - ArUco Marker Found At [32.9937493, -96.7538643]
2025-02-17 16:16:32,970 - AVC - Sent From Jetson: [32.9937508, -96.7538876]1
2025-02-17 16:16:32,972 - AVC - ArUco Marker Found At [32.9937508, -96.7538876]
2025-02-17 16:16:33,970 - AVC - Sent From Jetson: [32.9937516, -96.7539113]1
2025-02-17 16:16:33,970 - AVC - ArUco Marker Found At [32.9937516, -96.7539113]
2025-02-17 16:16:34,981 - AVC - Sent From Jetson: [32.9937539, -96.7539417]1
2025-02-17 16:16:34,981 - AVC - ArUco Marker Found At [32.9937539, -96.7539417]
2025-02-17 16:16:35,978 - AVC - Sent From Jetson: [32.9937556, -96.7539655]1
2025-02-17 16:16:35,978 - AVC - ArUco Marker Found At [32.9937556, -96.7539655]
2025-02-17 16:16:36,978 - AVC - Sent From Jetson: [32.9937575, -96.7539887]1
2025-02-17 16:16:36,978 - AVC - ArUco Marker Found At [32.9937575, -96.7539887]
2025-02-17 16:16:37,979 - AVC - Sent From Jetson: [32.9937586, -96.7540116]1
2025-02-17 16:16:37,979 - AVC - ArUco Marker Found At [32.9937586, -96.7540116]
2025-02-17 16:16:38,980 - AVC - Sent From Jetson: [32.9937602, -96.754037]1
2025-02-17 16:16:38,981 - AVC - ArUco Marker Found At [32.9937602, -96.754037]
2025-02-17 16:16:39,984 - AVC - Sent From Jetson: [32.9937623, -96.7540625]1
2025-02-17 16:16:39,984 - AVC - ArUco Marker Found At [32.9937623, -96.7540625]
2025-02-17 16:16:40,983 - AVC - Sent From Jetson: [32.9937647, -96.7540861]1
2025-02-17 16:16:40,984 - AVC - ArUco Marker Found At [32.9937647, -96.7540861]
2025-02-17 16:16:41,986 - AVC - Sent From Jetson: [32.9937662, -96.7541085]1
2025-02-17 16:16:41,986 - AVC - ArUco Marker Found At [32.9937662, -96.7541085]
2025-02-17 16:16:42,988 - AVC - Sent From Jetson: [32.9937664, -96.7541222]1
2025-02-17 16:16:42,989 - AVC - ArUco Marker Found At [32.9937664, -96.7541222]
2025-02-17 16:16:43,990 - AVC - Sent From Jetson: [32.9937664, -96.7541266]1
2025-02-17 16:16:43,990 - AVC - ArUco Marker Found At [32.9937664, -96.7541266]
2025-02-17 16:16:44,992 - AVC - Sent From Jetson: [32.9937717, -96.7541275]1
2025-02-17 16:16:44,992 - AVC - ArUco Marker Found At [32.9937717, -96.7541275]
2025-02-17 16:16:45,997 - AVC - Sent From Jetson: [32.9937885, -96.7541278]1
2025-02-17 16:16:45,997 - AVC - ArUco Marker Found At [32.9937885, -96.7541278]
2025-02-17 16:16:46,995 - AVC - Sent From Jetson: [32.9937994, -96.7541272]1
2025-02-17 16:16:46,995 - AVC - ArUco Marker Found At [32.9937994, -96.7541272]
2025-02-17 16:16:48,006 - AVC - Sent From Jetson: [32.993802, -96.7541196]1
2025-02-17 16:16:48,006 - AVC - ArUco Marker Found At [32.993802, -96.7541196]
2025-02-17 16:16:49,006 - AVC - Sent From Jetson: [32.9938018, -96.7540972]1
2025-02-17 16:16:49,007 - AVC - ArUco Marker Found At [32.9938018, -96.7540972]
2025-02-17 16:16:50,008 - AVC - Sent From Jetson: [32.9938019, -96.7540742]1
2025-02-17 16:16:50,009 - AVC - ArUco Marker Found At [32.9938019, -96.7540742]
2025-02-17 16:16:51,012 - AVC - Sent From Jetson: [32.9937997, -96.7540515]1
2025-02-17 16:16:51,013 - AVC - ArUco Marker Found At [32.9937997, -96.7540515]
2025-02-17 16:16:52,011 - AVC - Sent From Jetson: [32.9937957, -96.7540282]1
2025-02-17 16:16:52,011 - AVC - ArUco Marker Found At [32.9937957, -96.7540282]
2025-02-17 16:16:53,012 - AVC - Sent From Jetson: [32.9937925, -96.7540042]1
2025-02-17 16:16:53,013 - AVC - ArUco Marker Found At [32.9937925, -96.7540042]
2025-02-17 16:16:54,013 - AVC - Sent From Jetson: [32.993791, -96.7539794]1
2025-02-17 16:16:54,014 - AVC - ArUco Marker Found At [32.993791, -96.7539794]
2025-02-17 16:16:55,013 - AVC - Sent From Jetson: [32.9937889, -96.753954]1
2025-02-17 16:16:55,014 - AVC - ArUco Marker Found At [32.9937889, -96.753954]
2025-02-17 16:16:56,015 - AVC - Sent From Jetson: [32.9937863, -96.7539287]1
2025-02-17 16:16:56,015 - AVC - ArUco Marker Found At [32.9937863, -96.7539287]
2025-02-17 16:16:57,018 - AVC - Sent From Jetson: [32.9937828, -96.7539054]1
2025-02-17 16:16:57,019 - AVC - ArUco Marker Found At [32.9937828, -96.7539054]
2025-02-17 16:16:58,016 - AVC - Sent From Jetson: [32.99378, -96.7538824]1
2025-02-17 16:16:58,017 - AVC - ArUco Marker Found At [32.99378, -96.7538824]
2025-02-17 16:16:59,026 - AVC - Sent From Jetson: [32.9937791, -96.7538593]1
2025-02-17 16:16:59,034 - AVC - ArUco Marker Found At [32.9937791, -96.7538593]
2025-02-17 16:17:00,018 - AVC - Sent From Jetson: [32.9937799, -96.7538363]1
2025-02-17 16:17:00,018 - AVC - ArUco Marker Found At [32.9937799, -96.7538363]
2025-02-17 16:17:01,021 - AVC - Sent From Jetson: [32.9937798, -96.7538129]0
2025-02-17 16:17:02,021 - AVC - Sent From Jetson: [32.9937778, -96.7537889]1
2025-02-17 16:17:02,022 - AVC - ArUco Marker Found At [32.9937778, -96.7537889]
2025-02-17 16:17:03,023 - AVC - Sent From Jetson: [32.993775, -96.7537645]1
2025-02-17 16:17:03,023 - AVC - ArUco Marker Found At [32.993775, -96.7537645]
2025-02-17 16:17:04,024 - AVC - Sent From Jetson: [32.9937712, -96.7537393]1
2025-02-17 16:17:04,025 - AVC - ArUco Marker Found At [32.9937712, -96.7537393]
2025-02-17 16:17:05,025 - AVC - Sent From Jetson: [32.9937664, -96.7537226]1
2025-02-17 16:17:05,026 - AVC - ArUco Marker Found At [32.9937664, -96.7537226]
2025-02-17 16:17:06,027 - AVC - Sent From Jetson: [32.993764, -96.7537173]1
